,title,location,company,summary,salary,url
340,"REGISTERED HOMECARE NURSE - SALARY UPTO 9,000 AED",Abu Dhabi,BAYTI - DMETCO HOME HEALTHCARE LLC,"Assess and chart observations of the patient's condition at each visit.Complete evaluation tasks, including reviewing medication and vital signs.","AED9,000 a month",https://uae.indeed.com/company/BAYTI---DMETCO-HOME-HEALTHCARE-LLC/jobs/Registered-Homecare-Nurse-889002f256ac9a9c?fccid=f719d4218249b283&vjs=3
341,Mobile Technology Specialist,Dubai,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries free of tax in the U.A.E., cash housing, a furniture allowance, annual…",,https://uae.indeed.com/rc/clk?jk=e1f429da417e0f78&fccid=9628b0bd10bde506&vjs=3
342,Home Care Physician - Dubai,Dubai,Axios International,Degree is required with at least 2 years of working experience in a healthcare setting.Work with the healthcare team to provide patients with primary medical…,,https://uae.indeed.com/rc/clk?jk=a474416e90b6ae74&fccid=44566189a0228e5e&vjs=3
343,Product Sales Specialist,Sharjah,Aspen Medical Equipment Trading,"For Medical Equipment- With 2-3 years UAE experience in medical devices sales, UAE driving license and good contacts within the local UAE healthcare sector.",,https://uae.indeed.com/rc/clk?jk=1dd9ef3c34e42f59&fccid=061583ee739118be&vjs=3
344,PODIATRIST,Abu Dhabi,NMC Healthcare,NMC Healthcare is the largest private healthcare company in the UAE and ranks amongst the leading fertility service providers in the world.,,https://uae.indeed.com/rc/clk?jk=537cd119f5474cd9&fccid=d59f4719f5b1f6db&vjs=3
345,Doctors with DHA DHCC - PART TIME,Dubai,DRHC Hospital,"Dubai Healthcare City, High class premium Hospital.A well renowned private Hospital, Dubai.Specialty Doctors (Surgeons / Clinicians) - Part time Revenue…",,https://uae.indeed.com/company/Dr-Rami-Hamed-Center/jobs/Doctor-Dha-Dhcc-01bd4d54af3e3cf2?fccid=48b5a6e70371002e&vjs=3
347,NURSE/GP/DENTIST & SPECIALIST/PHARMACIST/MEDICAL CODER/RECEP...,Dubai,Houston Clinic,"REQUIREMENT FOR STAFF NURSE/ GENERAL PRACTITIONER ( PART-TIME), DERMATOLOGIST & PATHOLOGIST(PART-TIME), GENERAL DENTIST (FRESHER WILL BE TRAINEE FOR 6 MONTHS or…","AED2,500 - AED6,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CoScAF7uFKezAAK1J8diNwTIKaJl3rcS2WA1tzqvf9NBdA7ZoXUkUO-r9f6OK8yN8RzGWuWjGU8GbGVLNHSGDtPyP_qJ7wI41wcTUnA5Mm0LgZjH3NUS8kIttqLXwTxnFdw97e3jw42Rc8ImHuemQBH2Ow35dWBv-bkWAwrLUuj6SUK4mn66qWptjyD1aicc4agml6LTAgqLrubIZ_7fbR8_iQMzo8fI8IIH3rqeBo_LPa2jQX_ii2T3ei7-lwW2opn7nXadEoPxWO5TYqjeVgdmh71ifH72t0UAZvLvENvtVT6Dw5zVoBPWV_ldPmZIfmEfjMCMXjKOfi5yOya0tn3o-9plVoh-g5TPkI8AwbWFYplDPUWDP4cH1sRhVs1NgmtiM32f8aW6JRVZi726YoK2MWbi5RDjhkdJThCxP6hTik0gMrxUrlW8eb1lSG2hqtiIz96X1W5L1wVChOJ98IRkYfkNqAlUAanU6rC1FytQ==&p=12&fvj=1&vjs=3
349,Registered Nurse,Abu Dhabi,Al Bustan Medical Center,"Responsible for providing safe, effective, evidence based & comprehensive nursing care as part of the multidisciplinary team within the healthcare facility.",,https://uae.indeed.com/company/international-Dental-Center/jobs/Registered-Nurse-a9c245151e8997e4?fccid=8a33f3daabadf00d&vjs=3
350,Site Engineer,Dubai,Omni International,"For over 15 years Omni International Consultants has supplied high caliber personnel to the global Construction, Aviation, Banking, Logistics, IT, Hospitality,…",,https://uae.indeed.com/rc/clk?jk=9ecf60776ac11e54&fccid=eb525ce63ed76336&vjs=3
352,Specialist /Consultant - Medical Oncologist,Abu Dhabi,Search Plus HR,"Leading a cancer treatment team of various healthcare professionals.We are looking for a caring, dedicated Oncologist to join our team in diagnosing, treating,…",,https://uae.indeed.com/rc/clk?jk=b0a6dd8777c52690&fccid=618066ca5559b1d4&vjs=3
353,Junior Associate - Corporate M&A (Dubai),Dubai,Baker McKenzie,"Consumer Goods & Retail, Energy Mining & Infrastructure, Financial Institutions, Healthcare, Industrials, Manufacturing & Transportation, Technology, Media and…",,https://uae.indeed.com/rc/clk?jk=833254d98eb6053d&fccid=06ce31f83eef4b47&vjs=3
354,"Medical Science Liaison, GEM",Dubai,Acino Pharma,"Effectively manage risk and ensure compliance within the organization as well as knowledge of Healthcare systems.Dubai, UAE, Middle East, Turkey, and Africa.",,https://uae.indeed.com/rc/clk?jk=98db04344f728d85&fccid=203459eff15314bf&vjs=3
355,Clinical Operations Manager,Dubai,Specialist Medical Clinic,"We are a market leading (Permanent) Staffing Services provider dedicated to sourcing niche skilled and high caliber talent such as Doctors, Nurses, Midwives,…","AED35,000 a month",https://uae.indeed.com/company/Kare-Plus-MENA/jobs/Clinical-Operation-Manager-2325fd484b141121?fccid=055308cc62e6e80b&vjs=3
356,Conceptual Designer,Dubai,Robinson Faris Jones - Human Resources (RFJ-HR),"Healthcare, mixed use, hospitality and commercial developments;Boutique Design office with a range of medium to large scale projects:",,https://uae.indeed.com/rc/clk?jk=562bbf45b41ab4c0&fccid=40e1507cf13642c4&vjs=3
357,Registered Nurse I Healthcare I Dubai- UAE,Dubai,Al-Futtaim,"As a humble family business that started on the banks of the Dubai Creek in the 1930s, Al-Futtaim has expanded to a presence in 31 countries, a portfolio of…",,https://uae.indeed.com/rc/clk?jk=4a2041202e593f8f&fccid=b5139e4031867414&vjs=3
358,Regional Service Excellence Manager,Dubai,AXA,"Extensive knowledge of Healthcare Insurance.UNITED ARAB EMIRATES-UNITED ARAB EMIRATES-DUBAI.Designs, leads and oversees the implementation of AXA Employee…",,https://uae.indeed.com/rc/clk?jk=89d4a016b0990392&fccid=753062d67d31c43a&vjs=3
359,Male General Practitioner,Dubai,Vida Clinics LLC,Well reputed multi specialty Polyclinic and Home Healthcare Services required Male General Practitioner.Personal protective equipment provided or required.,,https://uae.indeed.com/company/Vida-Clinics-LLC/jobs/Male-General-Practitioner-132007317f82a086?fccid=54009a0f113323db&vjs=3
360,HAAD Home Care Nurse,Abu Dhabi,CIMS Medica,"Minimum 2 Years of working experience.Must have HAAD License/Eligibility letter.Must have Bachelor’s Degree in Nursing.UP to 11,500 AED /month.","AED8,000 - AED10,000 a month","https://uae.indeed.com/company/Cims-Medica-FZC-LLC,/jobs/Haad-Home-Care-Nurse-027d7fe049e584e1?fccid=7f51d8667c592f1e&vjs=3"
361,Nurse Assistant,Dubai,City Doctor Healthcare,City Doctor Healthcare is urgently hiring for Nurse Assistant(s) to join our Home Care Division Team.Nurse Assistant is providing treatment to patients with a…,,https://uae.indeed.com/company/City-Doctor-Healthcare/jobs/Nurse-Assistant-e0a1d085cf1d65b1?fccid=b4011dd9e9eb5adb&vjs=3
362,MOH/DHA Patient Support Program Nurse - UAE,Dubai,Axios International,A BS Degree in Nursing is required with at least 2 years working experience in a healthcare setting.The Patient Support Nurse provides comprehensive nursing…,,https://uae.indeed.com/rc/clk?jk=a0cfa9274c107454&fccid=44566189a0228e5e&vjs=3
363,Pharmacist InCharge(Store)-with HAAD & MOH license,Abu Dhabi,Pharmalink,"Responsible for day to day operations including regulatory compliance and supervise receiving, warehousing, picking/packing and dispatch, in order to meet…",,https://uae.indeed.com/rc/clk?jk=061bbb0e0d1ed724&fccid=71391635dec2c0ae&vjs=3
364,Beauty Therapist with Nursing Background,Abu Dhabi,"Primexperts Healthcare, Training And Consultancy",Relevant qualification in Beauty Therapy.An active license to practice beauty therapy.Proven experience working in the beauty industry.,"AED6,000 a month","https://uae.indeed.com/company/Primexperts-Healthcare,-Training-And-Consultancy/jobs/Beauty-Therapist-Nursing-Background-51263866e6231f54?fccid=460f9c289d11e23d&vjs=3"
365,LASER TECHNICIAN WITH HAAD/DHA,Abu Dhabi,NMC Healthcare,NMC Healthcare is the largest private healthcare company in the UAE and ranks amongst the leading fertility service providers in the world.,,https://uae.indeed.com/rc/clk?jk=07aa86b2329a8558&fccid=d59f4719f5b1f6db&vjs=3
366,Market Access Head,Dubai,Abbott Laboratories,In-depth knowledge about the country’s healthcare system and MA decision making.Responsible for the country overall market access strategy and execution for…,,https://uae.indeed.com/rc/clk?jk=943847b82d660357&fccid=7942658690eba67c&vjs=3
367,Occupational Therapist - HAAD,Abu Dhabi,Brainstorm Human Resources Consultants,Required Arabic Occupational Therapist for a major healthcare group in UAE.Valid HAAD/ DHA/ MOH license.2 to 3 years of experience as Occupational Therapist…,"AED18,000 - AED20,000 a month",https://uae.indeed.com/company/Brainstorm-Human-Resource-Consultants/jobs/Occupational-Therapist-163cc66173863649?fccid=b0bc31d2ce72d680&vjs=3
368,Specialist Gynecologist in DHA sector,Dubai,Search Plus HR,Referring patients to other healthcare specialists as needed.We are looking to employ a dedicated and experienced Obstetrics & Gynecologist to diagnose and…,,https://uae.indeed.com/rc/clk?jk=c0e47ead64cb616e&fccid=618066ca5559b1d4&vjs=3
369,Business Development Manager - Foodservices,Dubai,Talabat,"As part of the Delivery Hero network, Talabat is the pioneer of the online food ordering industry in the Middle East.To develop the business cases.",,https://uae.indeed.com/rc/clk?jk=e7100773cccfc7db&fccid=8948005a95e365ae&vjs=3
370,Legal Counsel,Dubai,MPC Healthcare,"Review contracts including but not limited to contracts with suppliers and vendors, employment contracts, terms and conditions, non-disclosure agreements.",,https://uae.indeed.com/company/MPC-Healthcare/jobs/Legal-Counsel-b7240514220a4e10?fccid=0a5a1088568eadf6&vjs=3
371,Doctors - Revenue Sharing DHCC DHA Part Time,Dubai,DRHC Hospital,"Dubai Healthcare City, High class premium Hospital.A well renowned private Hospital, Dubai.Who already practicing in Dubai or in DHCC (having own patients).",,https://uae.indeed.com/company/Dr-Rami-Hamed-Center/jobs/Doctor-2f924709f3c724cb?fccid=48b5a6e70371002e&vjs=3
372,Chief Financial Officer (CFO) – Pharmaceutical Company (Duba...,Dubai,OnePoint,"Minimum 10 years of experience working for a major group or a large corporation in the healthcare industry.Manage processes for financial forecasting, budgets…",,https://uae.indeed.com/rc/clk?jk=db92fdd2af9b0af0&fccid=f15e5e4a46544874&vjs=3
373,DHA Pharmacist,Dubai,Medseven Healthcare Group,Minimum 1 to 2 Years of UAE Experience as a Pharmacist.Ready to join as soon as possible.Social distancing guidelines in place.,"AED3,000 - AED4,000 a month",https://uae.indeed.com/company/Medseven-Healthcare-Group/jobs/Dha-Pharmacist-8951895653cfcdfa?fccid=8d4ffa2a7c6133b7&vjs=3
374,Nursing Aide,Al-Ayn,ORTHOPLUS BONE AND JOINT CENTER LLC,"Vacancy in a multi specialty medical center with JCI accreditation in Town Center, Al Ain.Preference will be given for candidates based in Al Ain.","AED2,500 a month",https://uae.indeed.com/company/Orthoplus-Bone-and-Joint-Center/jobs/Nursing-Aide-c81728ece7f676d8?fccid=c35e4d36c04a0c32&vjs=3
376,Dental Assistant,Sharjah,Bin Haian Healthcare group,We are currently looking for Experienced Dental assistant with MOH License.But at least have 2 years Experience working in Dental Clinic.,"AED4,000 - AED7,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHQqMcmqEs6FadTiMBBh_COFAus-3m3dsoTsGQG7CJcP0JLRT0s5TTjMDxGbShJm7nqrW4Hdvy1fAddsPO0TYlBj809A4JsFgdnABHw6EYCD8Q-mOQRmeAPqOWigUx8x1NvoE9UMoGr1f8Q1Yljgo4ECUcpVud_ujW8P1Ppw70zwtZ8JpYBmwsB5BCbqRe0zwJ0hb5eDsqOPeIVsmwlQefOHfdOc13FbUiztOZgUrvHO79ezXydb-vYTF6i4Whpk2k6y0zoNbKjNL_hBa1ph9C141FioTVWPtKDRyiBQs3rMOrThhcupdXX2hEt9PxFRhpT_xTTtj7Ty0ftn6V7XiovexNX9ZBre0aQisnD-l_oPhzV6U38LuGpEVX0CsQ_Xf0Jecx-XDBwVpSk7Cq-ZXQPzSAahoDIW3X3M8SEpTDfmgZ1GPwAKj6MonFKq4Ih4U=&p=11&fvj=1&vjs=3
378,Experienced Out-of-Hospital Midwife,Dubai,Rise Birth Center,"Consults with and refers to community healthcare members as needed.Rise is comprised of people passionate about birth rights for women, creating more options…","AED24,000 a month",https://uae.indeed.com/company/Rise-Birth-Center/jobs/Experienced-Out-Hospital-Midwife-446c9514e6e20615?fccid=f63db7f0ee551b91&vjs=3
379,Charge Nurse-Emergency Department,Sharjah,University Hospital Sharjah,"To excel in this role, you will need to be a licensed nursing professional with at least three years of experience in a healthcare environment.",,https://uae.indeed.com/rc/clk?jk=74efeacbae25723b&fccid=20e48137bc4f99a9&vjs=3
380,Adult Intensivist,Dubai,Fakeeh University Hospital,"Fakeeh University Hospital , a hospital and medical university project, is developed by Saudi Arabia’s leading healthcare provider, Fakeeh Care, in an effort to…",,https://uae.indeed.com/rc/clk?jk=ef85d5ff9cc5811d&fccid=9594544d39556a7a&vjs=3
381,Sales Manager,Dubai,Napier Healthcare Solutions Pte. Ltd.,Develop a solid understanding of customer needs and market drivers in the healthcare industry.Identify opportunities and build business cases for development…,,https://uae.indeed.com/rc/clk?jk=6eb2a9319dbdddba&fccid=1c5cfc525b841c32&vjs=3
382,Registered Nurse,Abu Dhabi,ubc world,"We are a well-reputed Healthcare Provider based in the heart of Abu Dhabi, as a part of an expansion of our services we are currently hiring Registered Nurses…",,https://uae.indeed.com/company/Ubc-world/jobs/Registered-Nurse-bec57ac8ada351ca?fccid=1cc855e885a7e2cc&vjs=3
383,"CRM/SFE Analyst - Central & Eastern Europe, Middle East and...",Dubai,Medtronic,"Together, we can change healthcare worldwide.Let’s work together to address universal healthcare needs and improve patients’ lives.A Day in the Life.",,https://uae.indeed.com/rc/clk?jk=59119415495e7584&fccid=f06a4d05bf5510ec&vjs=3
384,Consultant Radiologists (Remote),Dubai,Prognica Labs,Prognica is shaping the next generation of diagnostic healthcare tools to help patients around the globe.Board Certified with 2+ years of post-residency or…,,https://uae.indeed.com/rc/clk?jk=d3d9fa69d4dedd7f&fccid=71590b46c05f8c89&vjs=3
385,Staff Nurse: Operating Room,Al-Ayn,Kanad Hospital,"Inter-professional healthcare and quality improvement:Collaborates with the healthcare consumer, family, and others in the conduct of nursing practice.",,https://uae.indeed.com/rc/clk?jk=1237524229f04cc2&fccid=67e1f7568e1ff843&vjs=3
386,Female Practical Nurse / PN,Abu Dhabi,Private healthcare facility,"- Female - DOH Passer - flexible and hardworking Job Types: Full-time, Permanent Work Remotely: *…",,https://uae.indeed.com/company/GULF-INTERNATIONAL-MEDICAL-SERVICES/jobs/Female-Practical-Nurse-da011c0933aa39eb?fccid=b5975c11b5e58833&vjs=3
387,Enterprise Architect,Dubai,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries, housing, a furniture allowance, annual vacation airline tickets for the…",,https://uae.indeed.com/rc/clk?jk=256f062f3013acd5&fccid=9628b0bd10bde506&vjs=3
388,Media Services Technician,Dubai,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries free of tax in the U.A.E., Cash housing, a furniture allowance, annual…",,https://uae.indeed.com/rc/clk?jk=7967d902672a5192&fccid=9628b0bd10bde506&vjs=3
389,DHA/MOH Pharmacist,Dubai,Medseven Healthcare Group,2.Minimum 1 to 2 years experience in UAE.Good Communication Skill and Subject Knowledge.Social distancing guidelines in place.,"AED4,500 - AED6,500 a month",https://uae.indeed.com/company/Medseven-Healthcare-Group/jobs/Dha-Moh-Pharmacist-cbee6ed656817eea?fccid=8d4ffa2a7c6133b7&vjs=3
391,Assistant and Associate Professor in Cyber / Information Sec...,Abu Dhabi,Zayed University,"The University’s benefits package includes salary free of income tax in the UAE, housingallowance, furniture allowance, annual vacation airline tickets for the…",,https://uae.indeed.com/rc/clk?jk=98bce1289e2ca463&fccid=9628b0bd10bde506&vjs=3
392,DHA-Registered Nurse,Dubai,Aims Healthcare LLC,"Aims Healthcare is a leading and premium ""Doctor on Call"" service provider of Dubai.Maintain a safe and clean working environment in compliance with healthcare…","AED8,000 a month",https://uae.indeed.com/company/Aims-Healthcare-LLC/jobs/Dha-Registered-Nurse-71214cf4c9b676a7?fccid=530573c051a230fe&vjs=3
393,Sonographer,Abu Dhabi,Global Human Capital Group,"Analyses, verifies and ensures accuracy of all data sent to healthcare services, including editing as appropriate.Follows established policies and procedures.",,https://uae.indeed.com/rc/clk?jk=4a08e5c6ffef48a5&fccid=bc7430ba1024565c&vjs=3
394,Pharmacist - MOH,Fujairah,Medseven Healthcare Group,Minimum 2 - 3 Years of UAE Experience.Ready to join as soon as possible.,"AED4,000 - AED6,000 a month",https://uae.indeed.com/company/Medseven-Healthcare-Group/jobs/Pharmacist-cb73cceb047e9708?fccid=8d4ffa2a7c6133b7&vjs=3
395,Registered Nurse,Abu Dhabi,Housecall,Housecall is a product of DrOnCall which is a primary healthcare provider healthtech startup implementing progressive solutions to our community's healthcare…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOyjwbQkm0M3-pNgk3AAw_wxRWXIR9IFY8EsU1r8zUdXriedwfyG1j0fP6nr8cYiyX3IGan2wZbttR0MOh3lm6AgcbYQoOjqpE9G_MfYJF92M0QMboQJ0lu9o0CPTp_RuPYmnv-fCUbWSKcSXYMrmLMiFgd94K6A4FPuYdXJQOm9IaO6SavP9OkbPJRZFlt1XdsBkMEb0QkM3L4sfMhENrIplZi0HqN2jxcCp3boNQJKVBkD-OkrNf6-UJ4Sn7jks9K_TSlHJStMNHkHzeAhMr5atE7YLjxb2RcTXfdWBczz8aR8lZOB6HB5ZJ3-imVN713QTq0sMqs9bYI3hvGFGt3XsEh4ZwKpWBT6oHJRRaWoc7Ezxk-JT2jDn0mmSX9oA7j_-5CROkg0-GCftv2X4CpFZ48XJEmNanMf2G8itXTqtcfHgYmJoeBh4BLhNQQKo=&p=0&fvj=1&vjs=3
396,MALE Registered Nurse RN,Abu Dhabi,Private healthcare facility,"With DOH license/ passer, DHA licensed.Can join immediately or after one month notice period.Up to AED8,000.00 per month.","AED8,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdVfliTICGuZN_p9ROzTwDIhmm_OaZ7Z3Ke_m-gwQ3s3y0IW14r2rOETV5Bs7rDQWVE066h2xm0B-XXIpJU-oih2VvoI5D5tckc-f8qHSzqM35pEGA3w1mEI8YNUnzTWJzRpjdH7Qf-9RGscLNEhwkiWwiuvOorVdP8r3-RYzedsyRiHoK-upQN622EtMP9iXixKE4YoDi1WjhXNxRTc9VjoN0xtrBziDuzWOR4CVYFgFJXNudmVPXx3GbAnl8KMMnH5Vl_LleRSMx2s6_8cdpvYa2DcQoQ8GDxXI8Uy5smbV21X0B2-YbGrnsVPBONTsbHPLma8cLmdRyZX7WNtur3ubh0XAV1JPtQ-NcxXrhJLAmLsy5x1vkrnSHrzuKUYprllD0DMWiQLufpyIzjYg8E02wDgnn3r7BOO-kfLy1seCnTxq4XLPyqq9IDCtIU3kLtwZ-XfAmKA==&p=1&fvj=1&vjs=3
397,FEMALE Physiotherapist PT,Abu Dhabi,Private healthcare facility,"Willing to work 48 hours per week.Able to join by April or May 2021.With Driver's license or willing to take the driving license.Up to AED8,500.00 per month.","AED8,500 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdVfliTICGuZN_p9ROzTwDIhmm_OaZ7Z3Ke_m-gwQ3s3y0IW14r2rOSwgj4Pf7zqWcwQGeEak9T9tlK8A9lnl9m5kMXM6atPWG_XjZQIOS1LXiZke69ENLnxzlumCmJywUA0SbW7JUUf0S-eeSn6_JmAmdTQb-0YVULrf-cM4D5oNusJmVQyK_-VvngRpCtOfeYxBNy0BuLXfxdphXms4n9hBG55J_kCD_1iXOCN3TsMeH66LRHvsyZQd3T6BC8uBIVOHt2tbHp_S_LDVN6AjIcxn7WiwKBSx4mT4xRS26Pam0iYumE-ILXUTa_Wi_2pZzkrTg7nLHGP9oWnyha58sXFQuJch-7ohe4ogT2vfhPw9F3yEH8SvqEX71wYxQe5My6IGFd_E3VQE_RoCaXUb9ldn6BTDGzTjFo_f9xFJxm-vMvHVPGh9OSPFd6zIlHp9o-zMfjufQhw==&p=2&fvj=1&vjs=3
398,Senior Operations Officer (UAE Nationals Only with Family Bo...,Abu Dhabi,MDC Business Management Services,"\*Preferred - Healthcare and others (airline, hospitality), industry or sector within UAE only.Reporting to the Operations Manager, the Senior Operations…","AED30,000 - AED35,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXjjAlOCbQxIMFcoVa-id-9VsDv4se0BFeHHAzdcsaRj6vCn3qpHJvMvMgnTPb8MC3NxyjTZvS2QQoCTgnrXQI111bMH273qTwVXarTNAEyee3ng1njbbnpBEKZFMyeYgH5Vr_SlaDW8yGqEwE5fjPabbWkQ5skD0qEdPFKds5knIq2VeLGEsHQmnJXCntKrnbt4k9Buenm7Ymuqm3hHVLnP67aQc34rj-bR-bXz4u0MDKrg3pDpGzJbNVin5b7mTYhIAICtoLhD3o_EbJghuDEWL-n-v94LJ8zL6fU5XAPoH8lQ5k0bBvxb_sWx5EgmJ7TDw42AMWqAnLIPHVfYM8RtIl2yz463xv_DHmpp1LE0XvudfPl_6zZpzAOdBlyCCY4hRj8YLPEMcC1wfN2b7h53hnpzvhU1BX8KoD0pJ1j95TzHKXUF-vr-U0Q0zEb-SG_1-aTbJkn-VNwM5i-zsQnKcTQXeW4tyi9ctLNdEIzb7nGNMHiOuH&p=3&fvj=1&vjs=3
399,Insurance Coordinator,Dubai,Deira Medical Diagnostic Center,"Updated in the new changes of the healthcare rules and regulations.Must have experience in the same field and be knowledgeable on insurance company approvals,…","AED2,500 a month",https://uae.indeed.com/company/Deira-Medical-Diagnostic-Center/jobs/Insurance-Coordinator-f97c8b35da651988?fccid=e18aec12b37de20d&vjs=3
400,Key Account Manager,Dubai,Talabat,"As part of the Delivery Hero network, Talabat is the pioneer of the online food ordering industry in the Middle East.",,https://uae.indeed.com/rc/clk?jk=a54ecd0b3bcb0f83&fccid=8948005a95e365ae&vjs=3
402,Marketing/Sales Manager - Healthcare,Dubai,Horizon Medical Supplies,We are looking for a MARKETING/SALES MANAGER – HEALTHCARE who has experience in Medical Sales field especially in Dialysis Machines and other Renal products.,,https://uae.indeed.com/rc/clk?jk=b6edd1908865ea00&fccid=818f7691bbea46a3&vjs=3
403,Artificial Intelligence (AI / ML) Engineer,Dubai,Affaan Technologies,We are looking for highly passionate and enthusiastic players for solving problems in medical data analysis by building and implementing algorithms for image…,,https://uae.indeed.com/rc/clk?jk=2522e15c5a8ea0b0&fccid=91403a4d32ee84b1&vjs=3
405,Sales Rep,UAE,Qatar Scientific Company,"4-5 years of experience in sales in healthcare industry.Neo-Science is a distributor business serving the Arabian Gulf Countries, headquartered in Dubai UAE,…",,https://uae.indeed.com/rc/clk?jk=6abb663c76b2df5f&fccid=f92af09a991b6c61&vjs=3
406,Media Design and Production Manager,Dubai,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries, cash housing, a furniture allowance, annual vacation airline tickets for the…",,https://uae.indeed.com/rc/clk?jk=401b847d7d731252&fccid=9628b0bd10bde506&vjs=3
407,Assistant or Associate Professor in Economics,Abu Dhabi,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries that are free from tax in the United Arab Emirates, housing, a furniture…",,https://uae.indeed.com/rc/clk?jk=2f82869732e2c58c&fccid=9628b0bd10bde506&vjs=3
409,Specialist Dermatologist,Dubai,Fattan Dental & Derma Clinic,"We are looking for an experienced and passionate Dermatologist to join our healthcare team!As a Dermatologist at our clinic, you will be responsible for…",,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CN_PW9fZd2Bqzk4KKx0hvYiJK6wuGJDlkpAWqRsVrv5gu3FIpn57FN_e0mqW8Sm0jFG_C5upQ9WXyIAuTz7h0A3Oa5qDlS_3ts6A52zMj9UB0ZuVN5Kwrmcr6XijyF-TP5lvyWE5ptxX_gZtdYU4f_M6LEB0R1MpHJodSj02wmJWGStooQKEAHApQ03PgIJFPGkrmJJQ4NIWXY9xpFOtyN_oVF3putFuoUoDCXjysVivpr7-4okBBgMKfI-yAq2AGaj0qdmWnfl9lU9CqgLrbIskfhb0B7fTCxrSCKP0FNbIX4UWhKh9CwYV_XbfLEHKQnC2jEvOu2yxoSqABiKAERHxnR_3pxdkpGrD745f5NYBPn2PgKCrD6YCF1u3pyJvRcvsmOOk5c3ZmXpw4BEMKgR5XHm39wamP3aCotdJgCN5vAm8spZmdEkTOgNPSNpzPtVXIV8gNd7or43K7Zp8Jg&p=14&fvj=1&vjs=3
410,Western Pediatric Oncologist,Dubai,Allocation Assist Dubai,Leading a treatment team of other physicians and healthcare workers.We currently have a vacancy for a Western Pediatric Oncologist with one of our hospitals in…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A-UuX9_p0ntRvRhtvtwMyGb5wnngVmu-Ci8ZfphnzOV636k66aDGlyskaX-zE5r2hOp-sxOUTHQaulvAzA9WPlTqKdoyrB3xzuq36B7yqdtdEnODbRGGua5rT30fCI2DFsLTvHn7ACwvHbraOj8PS7jtGLHXZhxmy3yC3s9hgmAjccTykUJ5WAo5Kua_GoaMuwnC760FUBwL9U5aumXxEqsZbe7CT0tQ_whr9gdZQRq9nmsOPv7o8iO2avDU9FRwg_M4x3SWU2D7MwUbJREMseIg0TqNZiDp5JsR6AZfbD5gFqRDXN0BqysjttUztS6bWDSYF1z366Bqlz2osKynL_bYDG05OG95xEovLqhlUZURIxAfvuhyHrBJiT357bc3KeE2EVnMRDzemFr3Pz1D5ZY6QO49A9D-O4KghlrOxhY1cjOv7D-RiyMJq68D4Cg3qKqVzmuxFdjA==&p=15&fvj=1&vjs=3
411,"Patient Relationship Executive at Aims Healthcare, Dubai",Dubai,Aims Healthcare LLC,"Customer centric and service oriented with minimum 2 years healthcare experience in customer care, Customer service or front office.","AED2,000 - AED4,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AYnSiOySX41EcwOmQYJl3y-tfMmK8ojmVBNkVpGKyx3VTh3CXp6iz4FBp_ZKCWaxx5qIsp5SLs0SSxkXyqiw6acmzd9-JUSmofDZwqBtpc_PK90sarR-xBWcGn3_YYbarbiQkqo-UanBH7lDVrfHgGPH1PSXYn9ZbV1OYSzBetC4rK1EZ2yWpAG2CN53BlTXURxI3yHahl6duvWv4Q_43lmXYdmMp3G4TWwaGB1V8gRRoyYLyvx6BmioRjNU1dOFiG0EqFF8rlRtvmo4CTgG6SZWDl_dXkMi5DQynj-uurdi-bEhwmvNEOTCnKEUykZIqCgEWIAI4czyctE93nHscldyzgdalDMfuYGSrmpcP8mzuVV6V4ZSIixgBFFNKLE4ftsVkhsH9X6pJWjMfW70V9u9Ql4Udy7ORKJrgxr4B4jC-Cj5fVKBoPFpBHj8jVS0DafELOWmqz-b5T4h371M67UEcWLyP3byg=&p=16&fvj=1&vjs=3
